mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
54386128,20,20201,2021,12,2,2,14
54386139,20,20201,2021,12,1,0,10
54386148,20,20201,2021,12,0,0,24
54386148,20,20201,2021,12,0,2,10
54386148,20,20201,2021,12,1,0,29
54386148,20,20201,2021,12,1,1,13
54386148,20,20201,2021,12,1,2,20
54386148,20,20201,2021,12,2,0,28
54386148,20,20201,2021,12,2,1,10
54386148,20,20201,2021,12,2,2,17
54386156,20,20201,2021,12,1,0,38
54386156,20,20201,2021,12,1,1,36
54386156,20,20201,2021,12,1,2,37
54386156,20,20201,2021,12,2,0,29
54386156,20,20201,2021,12,2,1,27
54386156,20,20201,2021,12,2,2,28
54386157,20,20201,2021,12,1,0,10
54386157,20,20201,2021,12,2,0,10
54386158,20,20201,2021,12,0,0,93
54386158,20,20201,2021,12,0,1,223
54386158,20,20201,2021,12,0,2,169
54386158,20,20201,2021,12,1,0,115
54386158,20,20201,2021,12,1,1,359
54386158,20,20201,2021,12,1,2,249
54386158,20,20201,2021,12,2,0,109
54386158,20,20201,2021,12,2,1,324
54386158,20,20201,2021,12,2,2,228
54386164,20,20201,2021,12,0,0,132
54386164,20,20201,2021,12,0,1,149
54386164,20,20201,2021,12,0,2,133
54386164,20,20201,2021,12,1,0,121
54386164,20,20201,2021,12,1,1,83
54386164,20,20201,2021,12,1,2,88
54386164,20,20201,2021,12,2,0,124
54386164,20,20201,2021,12,2,1,100
54386164,20,20201,2021,12,2,2,100
54386165,20,20201,2021,12,0,0,23
54386165,20,20201,2021,12,0,2,15
54386165,20,20201,2021,12,1,0,94
54386165,20,20201,2021,12,1,1,59
54386165,20,20201,2021,12,1,2,89
54386165,20,20201,2021,12,2,0,76
54386165,20,20201,2021,12,2,1,44
54386165,20,20201,2021,12,2,2,70
54386166,20,20201,2021,12,0,0,815
54386166,20,20201,2021,12,0,1,1240
54386166,20,20201,2021,12,0,2,1074
54386166,20,20201,2021,12,1,0,1075
54386166,20,20201,2021,12,1,1,1500
54386166,20,20201,2021,12,1,2,1311
54386166,20,20201,2021,12,2,0,1008
54386166,20,20201,2021,12,2,1,1433
54386166,20,20201,2021,12,2,2,1250
54386167,20,20201,2021,12,0,0,105
54386167,20,20201,2021,12,0,2,71
54386167,20,20201,2021,12,1,0,41
54386167,20,20201,2021,12,1,2,20
54386167,20,20201,2021,12,2,0,58
54386167,20,20201,2021,12,2,2,33
54386168,20,20201,2021,12,0,0,16
54386170,20,20201,2021,12,0,0,1041
54386170,20,20201,2021,12,0,1,1430
54386170,20,20201,2021,12,0,2,1243
54386170,20,20201,2021,12,1,0,918
54386170,20,20201,2021,12,1,1,1526
54386170,20,20201,2021,12,1,2,1283
54386170,20,20201,2021,12,2,0,949
54386170,20,20201,2021,12,2,1,1501
54386170,20,20201,2021,12,2,2,1273
54386171,20,20201,2021,12,0,0,1317
54386171,20,20201,2021,12,0,1,797
54386171,20,20201,2021,12,0,2,1041
54386171,20,20201,2021,12,1,0,934
54386171,20,20201,2021,12,1,1,731
54386171,20,20201,2021,12,1,2,819
54386171,20,20201,2021,12,2,0,1033
54386171,20,20201,2021,12,2,1,748
54386171,20,20201,2021,12,2,2,876
54386172,20,20201,2021,12,0,0,74
54386172,20,20201,2021,12,0,1,34
54386172,20,20201,2021,12,0,2,51
54386172,20,20201,2021,12,1,0,50
54386172,20,20201,2021,12,1,1,17
54386172,20,20201,2021,12,1,2,31
54386172,20,20201,2021,12,2,0,56
54386172,20,20201,2021,12,2,1,21
54386172,20,20201,2021,12,2,2,36
54386173,20,20201,2021,12,0,0,275
54386173,20,20201,2021,12,0,1,203
54386173,20,20201,2021,12,0,2,245
54386173,20,20201,2021,12,1,0,231
54386173,20,20201,2021,12,1,1,122
54386173,20,20201,2021,12,1,2,179
54386173,20,20201,2021,12,2,0,242
54386173,20,20201,2021,12,2,1,143
54386173,20,20201,2021,12,2,2,196
54386174,20,20201,2021,12,0,0,491
54386174,20,20201,2021,12,0,1,246
54386174,20,20201,2021,12,0,2,320
54386174,20,20201,2021,12,1,0,538
54386174,20,20201,2021,12,1,1,451
54386174,20,20201,2021,12,1,2,428
54386174,20,20201,2021,12,2,0,526
54386174,20,20201,2021,12,2,1,398
54386174,20,20201,2021,12,2,2,400
54386175,20,20201,2021,12,0,0,1914
54386175,20,20201,2021,12,0,1,1848
54386175,20,20201,2021,12,0,2,1974
54386175,20,20201,2021,12,1,0,2471
54386175,20,20201,2021,12,1,1,1983
54386175,20,20201,2021,12,1,2,2222
54386175,20,20201,2021,12,2,0,2327
54386175,20,20201,2021,12,2,1,1948
54386175,20,20201,2021,12,2,2,2158
54386176,20,20201,2021,12,0,0,2608
54386176,20,20201,2021,12,0,1,3482
54386176,20,20201,2021,12,0,2,3214
54386176,20,20201,2021,12,1,0,2374
54386176,20,20201,2021,12,1,1,3210
54386176,20,20201,2021,12,1,2,2828
54386176,20,20201,2021,12,2,0,2434
54386176,20,20201,2021,12,2,1,3280
54386176,20,20201,2021,12,2,2,2927
54386177,20,20201,2021,12,0,0,137
54386177,20,20201,2021,12,0,1,187
54386177,20,20201,2021,12,0,2,155
54386177,20,20201,2021,12,1,0,539
54386177,20,20201,2021,12,1,1,189
54386177,20,20201,2021,12,1,2,361
54386177,20,20201,2021,12,2,0,435
54386177,20,20201,2021,12,2,1,188
54386177,20,20201,2021,12,2,2,308
54386178,20,20201,2021,12,1,0,49
54386178,20,20201,2021,12,1,1,66
54386178,20,20201,2021,12,1,2,49
54386178,20,20201,2021,12,2,0,37
54386178,20,20201,2021,12,2,1,49
54386178,20,20201,2021,12,2,2,39
54386180,20,20201,2021,12,0,0,2543
54386180,20,20201,2021,12,0,1,4010
54386180,20,20201,2021,12,0,2,3365
54386180,20,20201,2021,12,1,0,2271
54386180,20,20201,2021,12,1,1,3793
54386180,20,20201,2021,12,1,2,3048
54386180,20,20201,2021,12,2,0,2342
54386180,20,20201,2021,12,2,1,3849
54386180,20,20201,2021,12,2,2,3130
54386181,20,20201,2021,12,0,0,3347
54386181,20,20201,2021,12,0,1,3729
54386181,20,20201,2021,12,0,2,3596
54386181,20,20201,2021,12,1,0,3778
54386181,20,20201,2021,12,1,1,4205
54386181,20,20201,2021,12,1,2,3961
54386181,20,20201,2021,12,2,0,3667
54386181,20,20201,2021,12,2,1,4082
54386181,20,20201,2021,12,2,2,3867
54386182,20,20201,2021,12,0,0,1497
54386182,20,20201,2021,12,0,1,688
54386182,20,20201,2021,12,0,2,1070
54386182,20,20201,2021,12,1,0,1457
54386182,20,20201,2021,12,1,1,740
54386182,20,20201,2021,12,1,2,1105
54386182,20,20201,2021,12,2,0,1467
54386182,20,20201,2021,12,2,1,726
54386182,20,20201,2021,12,2,2,1096
54386183,20,20201,2021,12,0,0,151
54386183,20,20201,2021,12,0,1,40
54386183,20,20201,2021,12,0,2,72
54386183,20,20201,2021,12,1,0,207
54386183,20,20201,2021,12,1,1,104
54386183,20,20201,2021,12,1,2,146
54386183,20,20201,2021,12,2,0,192
54386183,20,20201,2021,12,2,1,88
54386183,20,20201,2021,12,2,2,127
54386184,20,20201,2021,12,0,0,106
54386184,20,20201,2021,12,0,1,187
54386184,20,20201,2021,12,0,2,121
54386184,20,20201,2021,12,1,0,330
54386184,20,20201,2021,12,1,1,213
54386184,20,20201,2021,12,1,2,220
54386184,20,20201,2021,12,2,0,272
54386184,20,20201,2021,12,2,1,206
54386184,20,20201,2021,12,2,2,194
54386185,20,20201,2021,12,0,0,901
54386185,20,20201,2021,12,0,1,484
54386185,20,20201,2021,12,0,2,701
54386185,20,20201,2021,12,1,0,1229
54386185,20,20201,2021,12,1,1,449
54386185,20,20201,2021,12,1,2,886
54386185,20,20201,2021,12,2,0,1144
54386185,20,20201,2021,12,2,1,458
54386185,20,20201,2021,12,2,2,838
54386186,20,20201,2021,12,0,0,1541
54386186,20,20201,2021,12,0,1,2526
54386186,20,20201,2021,12,0,2,2095
54386186,20,20201,2021,12,1,0,1528
54386186,20,20201,2021,12,1,1,2279
54386186,20,20201,2021,12,1,2,1991
54386186,20,20201,2021,12,2,0,1532
54386186,20,20201,2021,12,2,1,2343
54386186,20,20201,2021,12,2,2,2018
54386190,20,20201,2021,12,0,0,2387
54386190,20,20201,2021,12,0,1,2188
54386190,20,20201,2021,12,0,2,2266
54386190,20,20201,2021,12,1,0,2054
54386190,20,20201,2021,12,1,1,2539
54386190,20,20201,2021,12,1,2,2438
54386190,20,20201,2021,12,2,0,2140
54386190,20,20201,2021,12,2,1,2448
54386190,20,20201,2021,12,2,2,2394
54386191,20,20201,2021,12,0,0,4147
54386191,20,20201,2021,12,0,1,4029
54386191,20,20201,2021,12,0,2,4166
54386191,20,20201,2021,12,1,0,4815
54386191,20,20201,2021,12,1,1,4218
54386191,20,20201,2021,12,1,2,4500
54386191,20,20201,2021,12,2,0,4642
54386191,20,20201,2021,12,2,1,4169
54386191,20,20201,2021,12,2,2,4414
54386192,20,20201,2021,12,0,0,3983
54386192,20,20201,2021,12,0,1,3311
54386192,20,20201,2021,12,0,2,3629
54386192,20,20201,2021,12,1,0,4467
54386192,20,20201,2021,12,1,1,3860
54386192,20,20201,2021,12,1,2,4224
54386192,20,20201,2021,12,2,0,4342
54386192,20,20201,2021,12,2,1,3719
54386192,20,20201,2021,12,2,2,4071
54386193,20,20201,2021,12,0,0,2220
54386193,20,20201,2021,12,0,1,458
54386193,20,20201,2021,12,0,2,1126
54386193,20,20201,2021,12,1,0,582
54386193,20,20201,2021,12,1,1,375
54386193,20,20201,2021,12,1,2,511
54386193,20,20201,2021,12,2,0,1004
54386193,20,20201,2021,12,2,1,396
54386193,20,20201,2021,12,2,2,670
54386194,20,20201,2021,12,0,0,3265
54386194,20,20201,2021,12,0,1,1333
54386194,20,20201,2021,12,0,2,2050
54386194,20,20201,2021,12,1,0,2372
54386194,20,20201,2021,12,1,1,1181
54386194,20,20201,2021,12,1,2,1651
54386194,20,20201,2021,12,2,0,2602
54386194,20,20201,2021,12,2,1,1221
54386194,20,20201,2021,12,2,2,1754
54386195,20,20201,2021,12,0,0,622
54386195,20,20201,2021,12,0,1,497
54386195,20,20201,2021,12,0,2,608
54386195,20,20201,2021,12,1,0,1106
54386195,20,20201,2021,12,1,1,775
54386195,20,20201,2021,12,1,2,930
54386195,20,20201,2021,12,2,0,981
54386195,20,20201,2021,12,2,1,703
54386195,20,20201,2021,12,2,2,847
54386196,20,20201,2021,12,0,0,209
